"","x"
"1","NCAPD2"
"2","ANLN"
"3","TACC3"
"4","HMMR"
"5","GTSE1"
"6","NDC80"
"7","AURKA"
"8","TPX2"
"9","BIRC5"
"10","G2E3"
"11","CBX5"
"12","RANGAP1"
"13","CTCF"
"14","CDCA3"
"15","TTK"
"16","SMC4"
"17","ECT2"
"18","CENPA"
"19","CDC20"
"20","NEK2"
"21","CENPF"
"22","TMPO"
"23","HJURP"
"24","CKS2"
"25","DLGAP5"
"26","PIMREG"
"27","TOP2A"
"28","PSRC1"
"29","CDCA8"
"30","CKAP2"
"31","NUSAP1"
"32","KIF23"
"33","KIF11"
"34","KIF20B"
"35","CENPE"
"36","GAS2L3"
"37","KIF2C"
"38","NUF2"
"39","ANP32E"
"40","LBR"
"41","MKI67"
"42","CCNB2"
"43","CDC25C"
"44","HMGB2"
"45","CKAP2L"
"46","BUB1"
"47","CDK1"
"48","CKS1B"
"49","UBE2C"
"50","CKAP5"
"51","AURKB"
"52","CDCA2"
"53","TUBB4B"
"54","JPT1"
