"","x"
"1","UBR7"
"2","RFC2"
"3","RAD51"
"4","MCM2"
"5","TIPIN"
"6","MCM6"
"7","UNG"
"8","POLD3"
"9","WDR76"
"10","CLSPN"
"11","CDC45"
"12","CDC6"
"13","MSH2"
"14","MCM5"
"15","POLA1"
"16","MCM4"
"17","RAD51AP1"
"18","GMNN"
"19","RPA2"
"20","CASP8AP2"
"21","HELLS"
"22","E2F8"
"23","GINS2"
"24","PCNA"
"25","NASP"
"26","BRIP1"
"27","DSCC1"
"28","DTL"
"29","CDCA7"
"30","CENPU"
"31","ATAD2"
"32","CHAF1B"
"33","USP1"
"34","SLBP"
"35","RRM1"
"36","FEN1"
"37","RRM2"
"38","EXO1"
"39","CCNE2"
"40","TYMS"
"41","BLM"
"42","PRIM1"
"43","UHRF1"
