"initial_alias","converted_alias","name","description","namespace"
"209126_X_AT","ENSG00000185479","KRT6B","keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209126_X_AT","ENSG00000205420","KRT6A","keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213680_AT","ENSG00000185479","KRT6B","keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209125_AT","ENSG00000205420","KRT6A","keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"214580_X_AT","ENSG00000205420","KRT6A","keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209126_X_AT","ENSG00000185479","KRT6B","keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209126_X_AT","ENSG00000205420","KRT6A","keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205014_AT","ENSG00000137440","FGFBP1","fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"201820_AT","ENSG00000186081","KRT5","keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"215808_AT","ENSG00000129451","KLK10","kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209792_S_AT","ENSG00000129451","KLK10","kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"218677_AT","ENSG00000189334","S100A14","S100 calcium binding protein A14 [Source:HGNC Symbol;Acc:HGNC:18901]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"201839_S_AT","ENSG00000119888","EPCAM","epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210715_S_AT","ENSG00000167642","SPINT2","serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
